num1,num2,result,class
-379,35,-414,2
167,-207,-40,1
352,-358,-6,1
362,-469,-107,1
125,14,139,1
412,-466,878,2
70,-292,362,2
347,-311,36,1
-353,-105,-248,2
-405,430,25,1
375,-266,641,2
-61,378,-439,2
80,-22,58,1
7,203,210,1
382,-349,731,2
131,-43,88,1
102,-184,286,2
219,115,104,2
285,172,457,1
-57,-27,-84,1
313,-398,711,2
251,-299,-48,1
459,428,31,2
232,-13,245,2
336,346,-10,2
270,371,641,1
76,-40,36,1
-383,326,-709,2
103,197,300,1
-430,124,-554,2
68,111,179,1
-374,47,-421,2
-458,-498,40,2
-74,-213,-287,1
486,417,69,2
131,-77,208,2
182,1,181,2
480,-424,904,2
47,220,267,1
-66,-406,-472,1
-116,420,-536,2
-410,483,-893,2
15,-102,117,2
105,325,430,1
-470,-193,-277,2
-402,-436,34,2
62,-116,178,2
-224,201,-23,1
-173,12,-161,1
-360,158,-202,1
-368,-427,-795,1
423,429,852,1
218,-4,222,2
-64,-329,265,2
-135,92,-227,2
97,318,415,1
264,147,117,2
467,-209,258,1
435,310,125,2
-456,-453,-909,1
320,398,-78,2
41,-204,245,2
-353,243,-596,2
-416,435,19,1
-457,-426,-31,2
78,335,413,1
-190,-295,105,2
483,-400,883,2
-440,-107,-547,1
-142,-110,-252,1
-130,222,-352,2
316,-428,744,2
-372,444,-816,2
-465,-373,-92,2
295,-305,600,2
-29,-455,426,2
-387,353,-34,1
-194,-473,-667,1
-165,-113,-278,1
-10,204,194,1
86,-255,-169,1
-303,-137,-166,2
-56,-155,99,2
394,-138,532,2
-388,120,-268,1
-185,155,-30,1
-194,409,-603,2
215,-492,-277,1
-302,-273,-575,1
268,187,81,2
13,90,-77,2
391,460,851,1
-309,38,-347,2
379,-441,820,2
316,284,32,2
319,493,812,1
-447,430,-877,2
-464,-247,-711,1
-201,78,-279,2
119,329,448,1
418,18,436,1
-105,-249,-354,1
-231,-421,-652,1
140,499,-359,2
98,-133,-35,1
-34,-104,-138,1
486,-90,576,2
312,100,212,2
-50,-66,-116,1
177,-169,8,1
253,-287,540,2
-359,-317,-676,1
-147,-113,-34,2
-161,218,57,1
-139,-316,177,2
-376,-126,-502,1
112,171,-59,2
427,-20,407,1
-147,-412,-559,1
77,-30,47,1
-232,58,-290,2
444,-135,309,1
306,396,702,1
325,199,524,1
-446,-134,-580,1
-344,-457,113,2
-117,131,-248,2
-263,-294,-557,1
-44,263,-307,2
-29,-312,-341,1
-426,40,-386,1
-288,243,-531,2
-463,384,-79,1
-336,94,-242,1
47,-451,-404,1
264,43,221,2
-305,-109,-414,1
258,225,483,1
-404,474,70,1
-1,152,151,1
-73,220,-293,2
-177,62,-115,1
355,-243,598,2
-362,-464,102,2
296,411,707,1
292,46,338,1
246,204,450,1
-295,-163,-458,1
-386,-331,-717,1
54,475,-421,2
285,164,449,1
-261,-165,-426,1
-382,367,-15,1
-234,245,11,1
356,117,239,2
331,316,647,1
470,-320,150,1
473,293,180,2
408,-72,480,2
-57,207,150,1
145,-63,82,1
383,-108,275,1
380,73,307,2
142,244,-102,2
380,31,349,2
-490,-300,-790,1
343,77,266,2
409,329,80,2
-156,281,-437,2
378,-86,292,1
364,491,-127,2
265,-284,-19,1
178,254,432,1
-127,106,-21,1
-480,-379,-101,2
4,281,285,1
329,377,-48,2
342,47,389,1
-280,190,-470,2
-265,59,-206,1
-404,-373,-31,2
-50,-137,87,2
-499,495,-994,2
414,-179,593,2
217,-471,-254,1
-385,-63,-448,1
-161,179,-340,2
-469,287,-756,2
192,253,445,1
-256,-409,-665,1
-146,-135,-281,1
154,85,69,2
461,-486,-25,1
-318,-128,-446,1
-485,-500,-985,1
25,-216,-191,1
250,338,588,1
499,-346,153,1
-308,-253,-561,1
-101,-70,-31,2
363,428,-65,2
-474,-354,-120,2
33,-325,-292,1
118,-154,-36,1
-236,466,230,1
-336,101,-235,1
-128,-233,-361,1
-79,332,253,1
-397,-55,-452,1
122,-214,336,2
421,348,769,1
-265,-71,-336,1
-266,-28,-294,1
-37,-10,-27,2
450,143,593,1
