num1,num2,result,class
428,-377,51,1
118,-253,371,2
-34,50,16,1
228,-393,621,2
227,-237,-10,1
-161,193,32,1
-69,318,-0.2169811320754717,4
-407,-134,-5,5
99,-461,-362,5
-247,-1,247,3
84,-134,-50,1
-98,-278,-98,5
468,103,56,5
-272,460,-125120,3
163,-73,236,2
332,-386,-54,5
-194,129,-65,1
305,178,54290,3
457,404,184628,3
440,335,105,5
56,334,56,5
354,-61,-12,5
105,203,-98,2
402,-411,-9,5
-96,318,-0.3018867924528302,4
424,434,424,5
170,180,30600,3
181,-228,-41268,3
-483,160,-643,2
3,-269,272,2
-247,-464,-711,1
442,9,451,1
-71,8,1,5
210,324,-114,2
205,-347,552,2
-454,396,-58,1
-279,278,-557,2
-101,212,-313,2
-414,338,-76,1
-136,34,-4624,3
-337,-285,-622,1
54,200,254,1
405,-47,-8.617021276595745,4
-253,-420,0.6023809523809524,4
382,477,859,1
231,-166,397,2
-406,-326,-80,5
257,283,0.9081272084805654,4
271,430,701,1
-98,-156,-254,1
-342,188,-530,2
-491,-288,141408,3
-373,268,-99964,3
-165,453,-618,2
305,257,48,5
476,-24,-11424,3
484,150,72600,3
181,318,181,5
170,250,42500,3
338,-150,-50700,3
150,166,0.9036144578313253,4
-219,-161,-380,1
185,-235,-0.7872340425531915,4
-242,3,-239,1
273,298,81354,3
-188,-33,-23,5
303,475,-172,2
151,-134,-20234,3
229,316,229,5
-133,396,263,1
-55,324,-17820,3
-193,392,-75656,3
-216,128,-344,2
-383,281,-102,1
483,475,8,5
338,119,2.8403361344537816,4
-297,-175,-122,5
-484,-359,-125,5
119,163,19397,3
-360,364,4,5
404,186,2.172043010752688,4
-81,390,309,5
-17,-418,-435,1
-102,-365,263,2
420,-135,-56700,3
1,-181,182,2
-356,-47,7.574468085106383,4
346,378,724,1
409,-387,-158283,3
89,-84,5,1
471,-435,-1.0827586206896551,4
353,-464,-163792,3
97,271,0.35793357933579334,4
-89,-119,30,2
-91,273,-24843,3
-20,160,-180,2
-47,62,-109,2
226,-498,724,2
260,-146,406,2
98,-453,-355,5
-412,132,-280,1
355,-291,646,2
387,190,73530,3
-254,-445,0.5707865168539326,4
76,-55,131,2
156,93,63,2
152,-73,79,1
-141,473,-0.29809725158562367,4
-476,-173,-303,2
-195,-126,24570,3
-274,-287,13,2
168,-141,-23688,3
24,-448,-0.05357142857142857,4
-450,-237,1.8987341772151898,4
-328,200,72,5
238,-113,125,1
-64,444,380,1
-98,-305,0.32131147540983607,4
-133,468,335,5
450,266,184,5
413,-204,-199,5
92,-199,-18308,3
-67,396,-26532,3
-36,497,-0.07243460764587525,4
-347,436,-0.7958715596330275,4
238,-174,64,1
129,-140,-11,5
-264,-320,0.825,4
-272,264,256,5
-407,-322,1.263975155279503,4
-500,189,-2.6455026455026456,4
-53,-358,18974,3
304,376,304,5
-276,-38,-10,5
-135,342,207,5
-302,-296,-6,2
400,309,1.2944983818770226,4
-359,46,-313,1
388,-466,-78,5
204,-269,-0.758364312267658,4
392,373,146216,3
-471,-229,107859,3
-464,-184,85376,3
344,450,0.7644444444444445,4
286,294,0.9727891156462585,4
-293,330,-96690,3
-471,266,-737,2
-466,421,-1.1068883610451306,4
-307,-42,-265,2
166,189,31374,3
389,-118,271,1
-117,-425,308,2
-295,157,19,5
-233,-500,116500,3
86,-372,458,2
283,67,4.223880597014926,4
-466,223,203,5
96,431,0.22273781902552203,4
-466,342,-159372,3
21,39,-18,2
-329,98,-3.357142857142857,4
113,-68,-23,5
-86,347,261,5
-193,-212,0.910377358490566,4
-71,410,-29110,3
43,438,481,1
325,229,554,1
346,335,115910,3
366,334,122244,3
71,-183,-112,5
-493,408,-85,1
-294,222,-72,1
-74,47,-3478,3
495,-391,104,1
-66,75,9,1
9,-181,190,2
7,-8,-56,3
-435,274,-709,2
-439,87,-38193,3
242,-354,-0.6836158192090396,4
-194,459,265,5
277,-497,774,2
491,450,220950,3
-13,480,-0.027083333333333334,4
-310,126,-2.4603174603174605,4
-411,87,24,5
-417,-228,1.8289473684210527,4
187,295,55165,3
77,-389,-312,1
-489,272,-761,2
-493,-132,-361,2
193,466,-273,2
-51,-432,-483,1
416,-245,-101920,3
-115,-422,0.2725118483412322,4
256,-64,0,5
64,-422,486,2
-156,334,178,1
252,333,252,5
99,-376,-277,5
382,-37,345,1
360,248,112,2
30,59,0.5084745762711864,4
482,-139,-66998,3
0,-267,267,2
379,23,16.47826086956522,4
-479,322,-1.4875776397515528,4
132,348,132,5
-461,296,-136456,3
-402,211,-84822,3
-285,-161,-446,1
187,121,22627,3
90,25,3.6,4
-421,299,177,5
145,-401,546,2
138,34,4692,3
73,-25,48,1
-180,14,2,5
-235,-127,1.8503937007874016,4
-167,-222,37074,3
346,-106,452,2
47,4,43,2
336,245,82320,3
-93,-330,-423,1
319,223,96,5
-164,294,130,5
-257,399,142,5
-234,83,-317,2
483,158,3.0569620253164556,4
-30,170,140,5
-56,238,-0.23529411764705882,4
-415,323,-92,1
-225,453,-0.4966887417218543,4
-198,494,-97812,3
212,401,613,1
368,-391,-143888,3
500,161,339,2
-141,-495,-636,1
-83,-399,-482,1
-431,-2,-433,1
-136,159,-21624,3
-211,-66,-277,1
6,-17,-0.35294117647058826,4
328,-323,-318,5
-391,238,-629,2
113,-441,-0.2562358276643991,4
272,-414,-0.6570048309178744,4
309,216,66744,3
439,178,83,5
182,-74,256,2
264,-262,526,2
173,-83,-14359,3
121,-43,78,1
-182,-423,-605,1
155,-125,30,1
5,-33,-0.15151515151515152,4
247,-119,-2.0756302521008405,4
185,198,36630,3
-27,144,-171,2
86,234,0.36752136752136755,4
113,204,-91,2
51,-482,-431,1
-176,91,-16016,3
11,318,11,5
-263,122,103,5
114,-73,41,1
404,-464,-0.8706896551724138,4
-403,407,4,5
160,-228,-0.7017543859649122,4
19,-305,324,2
318,-188,-59784,3
436,-271,-106,5
364,210,1.7333333333333334,4
458,81,5.654320987654321,4
-183,-312,-495,1
351,228,80028,3
-363,387,24,5
-57,-213,-270,1
306,-227,-148,5
-346,312,278,5
185,3,188,1
255,-360,-91800,3
-311,443,132,1
109,-39,148,2
434,340,774,1
-71,-423,352,2
-25,-96,0.2604166666666667,4
-82,-85,3,2
295,-105,-2.8095238095238093,4
-181,-444,263,2
65,-456,521,2
-220,-322,70840,3
-360,-166,-28,5
433,-218,-1.9862385321100917,4
426,-199,-2.14070351758794,4
308,-199,-61292,3
415,-406,-397,5
-275,189,103,5
333,-419,-139527,3
-107,-262,155,2
477,-24,-19.875,4
-257,92,-23644,3
16,455,-439,2
332,328,1.0121951219512195,4
68,-406,474,2
-357,-262,93534,3
-342,116,-458,2
-262,428,166,1
321,85,236,2
-303,-468,-771,1
-401,21,-380,1
256,-374,-118,5
-150,62,-212,2
464,460,4,5
-288,-243,69984,3
2,-443,-0.004514672686230248,4
-135,-45,0,5
-457,-335,153095,3
-128,185,-0.6918918918918919,4
296,-153,-45288,3
-415,294,-709,2
-482,37,-17834,3
-287,208,-79,1
-374,-407,152218,3
-147,-419,0.35083532219570407,4
22,74,-52,2
116,425,116,5
-193,138,-26634,3
248,413,248,5
-291,445,154,5
43,-403,446,2
200,446,646,1
107,446,0.2399103139013453,4
316,4,312,2
125,-492,-0.2540650406504065,4
477,473,1.0084566596194504,4
-3,-73,0.0410958904109589,4
375,-228,-81,5
476,237,112812,3
356,-68,424,2
-265,370,105,1
-147,484,-0.3037190082644628,4
307,78,385,1
-21,-486,465,2
378,85,38,5
-275,-381,106,2
371,-260,-96460,3
-183,260,-47580,3
-19,417,398,5
-452,-252,1.7936507936507937,4
-367,219,-148,1
-59,150,91,5
30,-132,-0.22727272727272727,4
-15,243,-0.06172839506172839,4
-452,-217,2.0829493087557602,4
-18,-208,190,2
19,-417,-7923,3
485,343,142,5
423,162,261,2
-288,-161,46368,3
441,-233,208,1
161,218,0.7385321100917431,4
-404,-385,-19,2
-297,-460,0.6456521739130435,4
-136,63,-2.1587301587301586,4
170,492,-322,2
244,-474,-230,1
194,442,194,5
154,331,485,1
-63,304,241,1
-227,478,251,1
230,205,25,5
278,-463,741,2
-406,-78,-484,1
-79,-208,16432,3
-137,-75,10275,3
-386,-323,-709,1
-109,49,-5341,3
85,152,-67,2
-161,322,-483,2
-485,403,321,5
374,452,374,5
-147,-20,-127,2
-255,190,125,5
-278,129,-149,1
-138,-82,-56,2
-89,11,-78,1
-311,243,-68,1
318,306,624,1
166,-237,-71,1
117,309,117,5
370,-251,621,2
-111,-166,18426,3
122,123,122,5
136,365,136,5
196,-279,-0.7025089605734767,4
107,-426,-0.2511737089201878,4
-205,-436,0.4701834862385321,4
-133,-290,-133,5
438,72,6,5
-387,186,-201,1
-447,1,-446,1
345,-245,-145,5
97,-371,468,2
-32,-18,1.7777777777777777,4
-211,-401,190,2
-373,-338,-711,1
407,35,22,5
-267,48,21,5
187,90,97,2
136,177,313,1
227,-188,-1.2074468085106382,4
266,-467,-124222,3
252,210,42,5
-404,26,-15.538461538461538,4
-291,-1,-290,2
333,-468,-155844,3
-112,291,-0.3848797250859107,4
-46,118,-164,2
-243,46,-11178,3
284,-68,352,2
62,-416,-0.14903846153846154,4
129,-466,-0.27682403433476394,4
42,-25,-1.68,4
402,-279,123,1
59,327,59,5
493,-475,-234175,3
-142,-114,-28,2
-359,-80,-279,2
-273,-477,-750,1
-450,427,-1.053864168618267,4
-241,-98,-45,5
-57,-195,-57,5
133,-432,565,2
-286,322,-0.8881987577639752,4
-239,202,-441,2
-371,-90,-461,1
454,-232,-10,5
-317,-214,-103,5
-428,481,-0.8898128898128899,4
-189,-239,0.7907949790794979,4
-132,-15,-117,2
-26,-92,66,2
154,498,154,5
-28,148,-0.1891891891891892,4
235,-392,-157,1
-74,-6,-68,2
-319,299,-618,2
33,67,100,1
-377,-101,-74,5
70,-297,367,2
-492,-358,1.3743016759776536,4
-264,190,-1.3894736842105264,4
293,89,26077,3
-195,-21,4095,3
-14,-477,6678,3
-336,-460,0.7304347826086957,4
-198,427,229,5
348,-335,13,1
-145,369,-514,2
-329,429,100,1
405,-288,-1.40625,4
417,-204,621,2
-73,-325,-73,5
-462,218,-2.1192660550458715,4
-247,212,177,5
469,483,952,1
-297,-324,0.9166666666666666,4
240,352,592,1
-134,-244,-134,5
-50,257,-12850,3
347,-277,-96119,3
365,-162,-2.253086419753086,4
-273,65,-17745,3
-364,-328,119392,3
372,300,111600,3
62,120,7440,3
147,107,1.3738317757009346,4
249,260,0.9576923076923077,4
-276,324,48,1
487,-287,200,1
-68,-351,23868,3
265,278,0.9532374100719424,4
183,-424,-77592,3
-382,-173,-36,5
446,301,145,5
-88,-34,-20,5
-317,16,-301,1
445,-418,863,2
190,366,69540,3
90,444,-354,2
351,-211,-1.6635071090047393,4
-203,-352,0.5767045454545454,4
-300,82,-382,2
-63,-413,0.15254237288135594,4
436,317,119,5
322,461,148442,3
137,462,63294,3
-481,-274,-207,5
-464,178,-642,2
